13:27:40.094 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
13:28:15.294 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
13:28:15.388 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.2.Final
13:28:15.450 [main] INFO  c.h.c.CommitDiffContextMcpApplication - Starting CommitDiffContextMcpApplication v0.0.1-SNAPSHOT using Java 21.0.7 with PID 10722 (/Users/hayde/IdeaProjects/commit-diff-context-parent/mcp-tool-gateway/ctx_bin/commit-diff-context-mcp.jar started by hayde in /Users/hayde/IdeaProjects/zed)
13:28:15.451 [main] INFO  c.h.c.CommitDiffContextMcpApplication - The following 1 profile is active: "prod"
13:28:15.544 [main] INFO  c.h.c.CommitDiffContextMcpApplication - Starting CommitDiffContextMcpApplication v0.0.1-SNAPSHOT using Java 21.0.7 with PID 10726 (/Users/hayde/IdeaProjects/commit-diff-context-parent/mcp-tool-gateway/ctx_bin/commit-diff-context-mcp.jar started by hayde in /Users/hayde/IdeaProjects/zed)
13:28:15.544 [main] INFO  c.h.c.CommitDiffContextMcpApplication - The following 1 profile is active: "prod"
13:28:15.667 [main] INFO  o.s.b.d.c.l.DockerComposeLifecycleManager - Using Docker Compose file /Users/hayde/IdeaProjects/commit-diff-context-parent/commit-diff-context-mcp/src/main/resources/docker/docker-compose.yml
13:28:15.789 [main] INFO  o.s.b.d.c.l.DockerComposeLifecycleManager - Using Docker Compose file /Users/hayde/IdeaProjects/commit-diff-context-parent/commit-diff-context-mcp/src/main/resources/docker/docker-compose.yml
13:28:16.408 [main] INFO  o.s.b.d.c.l.DockerComposeLifecycleManager - There are already Docker Compose services running, skipping startup
13:28:16.408 [main] INFO  o.s.b.d.c.l.DockerComposeLifecycleManager - There are already Docker Compose services running, skipping startup
13:28:17.708 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
13:28:17.708 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
13:28:17.795 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
13:28:17.795 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
13:28:18.048 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 329 ms. Found 19 JPA repository interfaces.
13:28:18.067 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 262 ms. Found 19 JPA repository interfaces.
13:28:18.675 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
13:28:18.675 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
13:28:18.688 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 0 JDBC repository interfaces.
13:28:18.805 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
13:28:18.805 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JDBC repositories in DEFAULT mode.
13:28:18.814 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 7 ms. Found 0 JDBC repository interfaces.
13:28:18.814 [main] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor - No bean named 'errorChannel' has been explicitly defined. Therefore, a default PublishSubscribeChannel will be created.
13:28:18.826 [main] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor - No bean named 'integrationHeaderChannelRegistry' has been explicitly defined. Therefore, a default DefaultHeaderChannelRegistry will be created.
13:28:18.911 [main] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor - No bean named 'errorChannel' has been explicitly defined. Therefore, a default PublishSubscribeChannel will be created.
13:28:18.922 [main] INFO  o.s.i.c.DefaultConfiguringBeanFactoryPostProcessor - No bean named 'integrationHeaderChannelRegistry' has been explicitly defined. Therefore, a default DefaultHeaderChannelRegistry will be created.
13:28:19.909 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
13:28:19.955 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
13:28:19.972 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
13:28:20.003 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
13:28:20.005 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
13:28:20.031 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
13:28:20.108 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
13:28:20.111 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
13:28:20.315 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection org.postgresql.jdbc.PgConnection@2438a038
13:28:20.317 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
